CROPS,SOIL,N,P,K,TEMP,RELATIVE_HUMIDITY,SOIL_PH
rice,Clay soil,82.2,55.2,41.3,32.1,71.0,7.3
rice,Alluvial soil,83.0,58.2,51.8,39.5,74.2,5.3
rice,Loamy soil,96.4,51.4,43.3,25.6,71.5,6.8
rice,Clay soil,90.3,40.2,46.9,31.4,77.1,5.4
rice,Alluvial soil,92.2,56.3,46.4,32.5,72.9,7.6
rice,Loamy soil,97.9,47.5,40.1,27.2,67.8,5.8
rice,Clay soil,80.4,53.1,42.3,39.3,74.3,5.6
rice,Alluvial soil,89.6,46.3,41.4,26.0,68.7,5.1
rice,Loamy soil,98.6,59.2,42.8,22.0,77.2,6.4
rice,Clay soil,91.4,55.5,48.9,25.4,68.1,6.3
rice,Alluvial soil,82.6,42.0,51.5,26.3,68.6,7.4
rice,Loamy soil,81.2,43.2,48.4,27.1,62.1,6.7
rice,Clay soil,91.5,52.4,53.2,34.0,78.8,6.8
rice,Alluvial soil,87.4,42.6,46.1,36.4,73.5,5.5
rice,Loamy soil,82.9,57.1,58.8,31.4,60.4,5.8
rice,Clay soil,84.5,59.9,47.5,26.0,68.5,7.1
rice,Alluvial soil,95.2,41.9,57.9,31.6,60.7,7.0
rice,Loamy soil,81.7,46.5,49.9,23.1,73.3,7.9
rice,Clay soil,93.0,52.6,56.8,25.4,69.6,5.1
rice,Alluvial soil,90.4,55.2,57.4,30.5,71.8,5.3
rice,Loamy soil,96.4,52.3,44.4,39.8,77.2,5.5
rice,Clay soil,84.7,46.7,51.5,38.8,72.4,5.4
rice,Alluvial soil,95.6,45.7,51.4,39.9,61.7,5.4
rice,Loamy soil,81.7,53.3,54.8,35.2,67.2,5.2
rice,Clay soil,84.0,43.9,41.6,33.8,73.0,5.4
rice,Alluvial soil,89.4,57.1,49.8,35.8,72.0,5.6
rice,Loamy soil,89.5,50.4,51.6,28.3,67.6,5.2
rice,Clay soil,87.0,54.6,40.1,29.6,64.6,7.8
rice,Alluvial soil,97.6,40.9,59.4,20.5,63.4,5.0
rice,Loamy soil,82.2,51.9,52.1,37.9,74.6,6.1
rice,Clay soil,84.9,44.4,48.4,39.0,69.4,6.3
rice,Alluvial soil,91.3,48.9,57.5,33.4,73.1,7.1
rice,Loamy soil,98.1,56.9,50.7,34.1,78.6,7.8
rice,Clay soil,86.6,48.6,48.0,33.4,78.7,7.0
rice,Alluvial soil,99.1,51.2,44.9,27.0,74.5,7.4
rice,Loamy soil,85.9,53.6,53.6,31.8,68.5,5.8
rice,Clay soil,90.9,57.9,59.4,39.8,72.6,6.1
rice,Alluvial soil,81.5,54.8,41.7,27.1,75.3,7.4
rice,Loamy soil,88.5,58.7,50.7,39.0,63.8,7.8
rice,Clay soil,91.8,45.6,54.3,30.8,62.3,6.5
rice,Alluvial soil,88.2,42.7,52.5,25.7,70.3,7.9
rice,Loamy soil,88.4,55.6,55.3,31.3,76.1,5.1
rice,Clay soil,90.5,51.1,58.2,20.4,62.6,5.0
rice,Alluvial soil,95.7,57.1,42.2,30.0,66.8,7.4
rice,Loamy soil,83.6,49.6,55.9,21.1,78.5,6.8
rice,Clay soil,99.0,44.2,42.7,26.2,67.8,7.1
rice,Alluvial soil,98.6,43.3,41.1,22.8,69.8,5.7
rice,Loamy soil,95.2,54.2,44.1,24.7,63.2,7.1
rice,Clay soil,98.8,51.7,57.7,21.0,69.1,7.7
rice,Alluvial soil,98.7,59.1,50.0,33.8,78.7,7.2
rice,Loamy soil,95.1,45.1,46.9,26.2,66.0,5.7
rice,Clay soil,90.7,47.1,48.2,39.2,79.3,6.3
rice,Alluvial soil,84.2,44.3,51.5,38.8,63.6,6.2
rice,Loamy soil,92.3,41.0,47.7,38.5,61.3,5.6
rice,Clay soil,94.9,43.7,45.2,22.0,76.2,6.2
rice,Alluvial soil,90.5,45.6,56.8,28.0,62.4,5.2
rice,Loamy soil,86.3,58.2,43.1,25.2,66.7,5.6
rice,Clay soil,83.7,54.4,54.2,22.8,75.3,6.9
rice,Alluvial soil,100.0,46.1,54.1,33.1,73.6,7.2
rice,Loamy soil,99.4,40.1,54.7,28.6,65.6,5.0
rice,Clay soil,93.4,46.7,58.2,32.1,70.7,5.2
rice,Alluvial soil,93.3,52.8,45.5,25.7,64.7,7.9
rice,Loamy soil,83.9,42.7,50.2,35.0,60.2,5.4
rice,Clay soil,97.4,43.3,50.4,36.1,68.3,7.6
rice,Alluvial soil,80.5,54.3,49.1,35.7,71.0,7.4
rice,Loamy soil,91.8,41.4,45.9,38.7,74.1,7.9
rice,Clay soil,87.9,58.5,58.2,38.1,68.1,6.0
rice,Alluvial soil,94.3,40.0,48.3,31.8,73.3,6.1
rice,Loamy soil,86.2,59.7,45.2,21.4,67.2,6.5
rice,Clay soil,87.2,59.6,53.3,26.5,63.7,6.1
rice,Alluvial soil,81.3,59.2,55.7,39.1,79.1,5.1
rice,Loamy soil,92.5,44.7,43.1,28.8,66.1,7.5
rice,Clay soil,80.5,57.3,51.4,34.0,70.7,6.6
rice,Alluvial soil,82.1,40.9,50.0,33.1,68.2,6.4
rice,Loamy soil,89.1,40.2,47.1,39.5,72.4,5.9
rice,Clay soil,86.6,40.1,53.9,26.7,63.1,7.2
rice,Alluvial soil,96.6,54.9,58.1,38.1,65.2,7.4
rice,Loamy soil,81.5,58.8,51.2,26.8,73.7,5.7
rice,Clay soil,89.6,57.1,48.8,29.4,69.7,6.4
rice,Alluvial soil,92.2,56.9,45.4,34.3,60.1,6.9
rice,Loamy soil,92.5,50.1,51.9,22.2,64.5,6.8
rice,Clay soil,97.3,57.5,59.4,24.4,80.0,7.7
rice,Alluvial soil,83.3,53.0,41.4,33.3,72.8,5.7
rice,Loamy soil,94.5,58.5,55.5,25.0,72.7,5.3
rice,Clay soil,80.2,45.6,49.8,25.4,74.9,7.3
rice,Alluvial soil,94.1,40.6,52.4,21.4,66.8,6.3
rice,Loamy soil,82.4,43.4,50.2,31.1,66.4,6.1
rice,Clay soil,94.2,40.5,41.1,25.6,69.3,6.4
rice,Alluvial soil,83.4,51.1,47.2,33.9,67.2,6.7
rice,Loamy soil,90.8,43.7,47.6,37.3,75.2,6.8
rice,Clay soil,83.4,49.8,41.4,30.3,68.2,7.4
rice,Alluvial soil,88.0,58.1,55.4,25.7,78.4,5.9
rice,Loamy soil,83.7,55.8,50.0,28.3,65.0,7.3
rice,Clay soil,88.4,48.0,46.9,39.4,69.2,6.6
rice,Alluvial soil,97.1,49.2,53.2,23.5,76.0,8.0
rice,Loamy soil,94.1,50.3,45.3,30.7,69.2,5.9
rice,Clay soil,86.7,51.4,43.6,22.6,63.2,5.1
rice,Alluvial soil,82.1,48.5,49.9,25.8,62.9,7.0
rice,Loamy soil,89.5,47.8,40.2,31.7,73.8,7.0
rice,Clay soil,89.0,47.6,49.2,22.7,64.7,6.1
rice,Alluvial soil,91.5,52.4,57.7,37.1,76.6,5.4
rice,Loamy soil,87.3,41.1,41.7,23.1,70.3,6.9
rice,Clay soil,88.4,50.4,48.2,26.6,70.9,6.6
rice,Alluvial soil,95.0,48.4,55.7,32.7,76.4,5.4
rice,Loamy soil,98.6,59.4,47.6,23.8,70.6,7.1
rice,Clay soil,97.4,45.6,42.0,39.7,65.0,5.3
rice,Alluvial soil,90.4,49.5,42.4,34.5,73.5,5.8
rice,Loamy soil,81.8,49.8,44.5,33.0,66.2,6.5
rice,Clay soil,86.2,59.8,51.8,29.3,78.1,6.8
rice,Alluvial soil,82.7,49.2,44.2,33.2,71.3,7.0
rice,Loamy soil,89.1,55.8,59.4,32.8,67.7,5.8
rice,Clay soil,90.7,58.3,48.6,21.5,66.1,7.9
rice,Alluvial soil,83.2,56.0,52.8,29.1,74.9,6.1
rice,Loamy soil,91.7,57.2,45.7,27.0,64.9,7.7
rice,Clay soil,90.1,52.9,43.3,28.9,69.0,6.2
rice,Alluvial soil,90.4,49.6,46.4,36.1,64.8,5.7
rice,Loamy soil,88.5,52.4,44.5,37.8,65.7,6.1
rice,Clay soil,99.6,40.3,40.4,31.9,76.0,7.0
rice,Alluvial soil,84.1,49.3,53.6,24.0,62.9,5.8
rice,Loamy soil,92.0,47.3,48.7,38.6,75.2,7.4
rice,Clay soil,82.5,59.1,42.4,21.4,68.0,6.2
rice,Alluvial soil,97.8,53.5,47.5,35.6,77.7,5.4
rice,Loamy soil,83.4,48.0,55.4,28.3,62.6,5.6
rice,Clay soil,84.0,50.9,59.7,30.1,63.5,6.1
rice,Alluvial soil,82.0,42.1,59.7,21.2,71.5,5.6
rice,Loamy soil,90.4,58.8,55.1,30.3,65.7,7.7
rice,Clay soil,81.0,50.1,59.4,25.7,70.2,6.2
rice,Alluvial soil,91.5,41.2,54.9,29.5,78.6,5.0
rice,Loamy soil,90.3,51.4,45.1,29.4,61.2,7.8
rice,Clay soil,82.3,54.0,47.1,25.3,68.9,5.8
rice,Alluvial soil,86.8,40.7,41.3,21.2,70.0,5.2
rice,Loamy soil,97.5,59.3,52.7,39.5,62.8,7.7
rice,Clay soil,84.1,49.8,59.5,23.9,63.8,7.4
rice,Alluvial soil,87.1,52.6,53.7,36.5,75.3,6.7
rice,Loamy soil,87.9,41.8,51.5,25.2,71.4,7.4
rice,Clay soil,83.5,56.4,50.6,21.2,72.4,7.5
rice,Alluvial soil,92.0,43.4,49.8,24.0,78.9,5.7
rice,Loamy soil,87.8,43.0,52.5,29.2,75.2,6.5
rice,Clay soil,99.4,53.7,58.4,26.3,66.8,7.5
rice,Alluvial soil,98.4,42.0,55.0,28.9,62.6,7.2
rice,Loamy soil,85.3,51.8,50.3,28.7,70.1,5.8
rice,Clay soil,83.8,44.4,45.8,29.9,74.3,5.1
rice,Alluvial soil,89.9,54.2,49.6,29.4,76.6,6.8
rice,Loamy soil,86.8,40.6,50.5,27.7,71.6,6.0
rice,Clay soil,87.0,45.3,55.8,28.4,68.0,5.0
rice,Alluvial soil,92.7,45.5,40.1,33.1,64.5,6.4
rice,Loamy soil,98.3,53.0,41.8,22.1,64.2,5.4
rice,Clay soil,85.0,55.8,54.4,39.2,76.4,6.7
rice,Alluvial soil,81.5,42.9,40.5,34.1,60.8,6.6
rice,Loamy soil,87.9,55.4,54.8,26.7,68.5,5.7
rice,Clay soil,88.8,55.3,47.4,31.9,79.2,7.4
rice,Alluvial soil,87.8,41.8,46.5,26.6,60.0,5.9
rice,Loamy soil,83.3,44.6,46.8,30.9,79.5,7.9
rice,Clay soil,96.6,46.2,57.3,32.6,68.4,6.7
rice,Alluvial soil,86.1,53.7,59.6,22.8,68.2,7.6
rice,Loamy soil,83.2,58.4,40.5,37.6,63.7,6.3
rice,Clay soil,85.9,44.0,57.0,30.8,61.9,5.2
rice,Alluvial soil,93.2,53.0,41.3,26.3,76.2,5.7
rice,Loamy soil,98.2,48.0,58.5,30.8,62.7,7.8
rice,Clay soil,85.4,44.0,54.0,30.6,60.4,6.8
rice,Alluvial soil,96.1,46.0,57.5,28.7,60.2,6.9
rice,Loamy soil,86.1,56.9,43.6,33.1,74.9,5.9
rice,Clay soil,95.0,42.6,46.3,26.9,61.7,6.3
rice,Alluvial soil,93.5,48.5,50.1,31.0,64.6,7.0
rice,Loamy soil,97.3,55.0,54.6,24.3,64.0,7.1
rice,Clay soil,88.4,50.3,54.2,24.3,68.5,6.2
rice,Alluvial soil,88.4,53.5,56.1,26.5,66.4,6.6
rice,Loamy soil,80.3,48.9,43.4,24.5,69.0,6.5
rice,Clay soil,97.8,44.9,46.8,39.9,74.5,6.4
rice,Alluvial soil,91.1,42.9,58.7,39.8,75.9,5.1
rice,Loamy soil,84.8,50.2,57.4,21.0,63.1,6.2
rice,Clay soil,85.0,45.1,58.0,32.5,76.5,5.2
rice,Alluvial soil,85.6,58.0,44.9,27.0,66.6,7.5
rice,Loamy soil,83.9,54.6,42.5,36.6,77.7,8.0
rice,Clay soil,88.4,49.2,59.7,36.7,65.1,6.1
rice,Alluvial soil,81.5,53.2,54.2,21.3,63.6,7.4
rice,Loamy soil,92.5,51.4,41.6,35.6,79.1,6.6
rice,Clay soil,84.2,55.1,40.7,27.6,62.6,6.7
rice,Alluvial soil,94.5,44.6,48.4,31.5,71.0,5.6
rice,Loamy soil,86.6,57.6,43.0,39.4,74.9,5.8
rice,Clay soil,87.6,52.6,55.7,22.1,74.4,6.3
rice,Alluvial soil,97.2,48.8,54.2,34.7,79.1,5.8
rice,Loamy soil,99.2,51.9,58.8,27.9,75.3,5.2
rice,Clay soil,92.1,59.0,52.1,34.2,71.7,6.5
rice,Alluvial soil,95.2,50.9,44.6,30.2,68.7,6.3
rice,Loamy soil,82.5,45.6,54.6,37.9,60.3,6.0
rice,Clay soil,87.7,53.0,50.1,28.8,64.6,6.4
rice,Alluvial soil,88.3,55.0,59.0,23.0,66.4,6.6
rice,Loamy soil,89.8,57.8,59.7,20.6,62.3,7.0
rice,Clay soil,96.9,49.6,56.4,36.4,69.6,5.2
rice,Alluvial soil,95.9,58.3,41.1,39.3,60.7,6.5
rice,Loamy soil,87.1,40.8,45.2,33.9,61.5,5.2
rice,Clay soil,98.9,43.0,45.4,29.2,67.9,5.6
rice,Alluvial soil,92.3,59.5,59.6,26.2,76.5,7.9
rice,Loamy soil,95.1,53.5,50.3,35.1,76.8,6.7
rice,Clay soil,97.2,46.2,43.4,37.1,77.9,7.5
rice,Alluvial soil,88.8,49.4,42.2,38.5,60.5,5.9
rice,Loamy soil,88.7,44.9,56.0,32.1,61.0,7.9
rice,Clay soil,84.7,52.7,51.1,36.3,78.1,7.7
rice,Alluvial soil,82.3,51.5,48.1,28.8,68.3,7.2
rice,Loamy soil,97.2,56.7,52.7,20.5,78.3,5.4
rice,Clay soil,87.6,56.2,54.1,25.6,77.4,7.6
rice,Alluvial soil,81.6,41.9,58.0,35.1,69.8,6.5
rice,Loamy soil,83.5,53.5,43.6,20.6,69.5,6.0
rice,Clay soil,90.1,53.8,55.0,23.2,79.4,7.8
rice,Alluvial soil,92.8,45.8,43.7,29.4,75.3,6.1
rice,Loamy soil,85.4,43.3,59.5,25.3,76.8,7.0
rice,Clay soil,85.8,48.5,45.1,37.5,70.9,7.6
rice,Alluvial soil,99.2,58.1,42.4,22.8,73.7,7.9
rice,Loamy soil,91.4,53.5,54.9,22.1,63.9,6.3
rice,Clay soil,89.8,44.5,46.4,29.0,79.0,6.1
rice,Alluvial soil,96.9,41.5,46.1,36.2,75.9,5.1
rice,Loamy soil,84.9,59.2,41.4,27.6,70.7,5.3
rice,Clay soil,97.0,57.9,51.3,37.1,68.8,8.0
rice,Alluvial soil,93.7,46.3,52.6,25.7,68.3,6.8
rice,Loamy soil,96.7,44.2,40.2,24.7,60.1,6.1
rice,Clay soil,94.8,50.4,57.0,33.6,68.0,5.4
rice,Alluvial soil,80.1,54.4,59.6,30.2,72.8,7.7
rice,Loamy soil,85.6,48.1,55.6,35.2,68.1,6.7
rice,Clay soil,81.6,55.4,57.9,33.5,63.3,6.4
rice,Alluvial soil,81.6,53.9,48.1,34.5,72.0,7.8
rice,Loamy soil,86.0,57.4,51.4,38.2,66.2,6.3
rice,Clay soil,97.4,42.4,52.2,22.0,74.6,5.2
rice,Alluvial soil,81.5,47.0,46.7,29.6,67.4,6.5
rice,Loamy soil,98.6,56.4,55.4,38.9,70.2,7.8
rice,Clay soil,92.2,46.0,55.9,20.6,68.7,5.3
rice,Alluvial soil,97.7,49.1,41.3,37.0,76.1,5.2
rice,Loamy soil,94.5,59.9,40.8,27.7,66.9,7.3
rice,Clay soil,91.5,47.5,59.2,26.8,60.1,8.0
rice,Alluvial soil,98.0,41.0,47.3,26.0,74.5,7.4
rice,Loamy soil,84.2,40.8,57.4,27.7,68.1,5.6
rice,Clay soil,88.3,56.4,49.7,37.2,74.9,5.7
rice,Alluvial soil,81.6,47.7,50.8,38.5,73.0,7.5
rice,Loamy soil,88.9,59.0,49.7,33.9,63.9,7.7
rice,Clay soil,86.9,52.4,40.5,27.7,73.5,7.7
rice,Alluvial soil,85.5,44.7,46.0,30.4,79.3,7.2
rice,Loamy soil,94.2,45.0,43.0,31.2,62.0,6.8
rice,Clay soil,94.5,55.4,50.0,26.8,67.4,7.3
rice,Alluvial soil,90.6,52.0,49.3,24.1,60.5,5.3
rice,Loamy soil,86.9,45.1,51.8,31.0,64.1,7.9
rice,Clay soil,81.5,53.2,50.5,28.1,72.1,6.4
rice,Alluvial soil,91.6,45.5,54.5,34.5,78.3,5.3
rice,Loamy soil,99.9,56.2,47.9,36.1,77.5,7.5
rice,Clay soil,81.0,56.2,51.0,36.6,71.2,7.0
rice,Alluvial soil,89.5,56.9,59.3,22.2,62.6,6.5
rice,Loamy soil,93.7,48.9,47.3,32.0,70.5,8.0
rice,Clay soil,90.8,45.4,43.7,37.7,64.2,5.7
rice,Alluvial soil,89.3,42.0,52.4,37.2,61.5,5.0
rice,Loamy soil,92.4,42.5,43.1,27.9,78.2,5.6
rice,Clay soil,87.7,59.0,46.0,25.8,67.2,5.5
rice,Alluvial soil,93.4,53.4,55.1,31.9,71.1,6.1
rice,Loamy soil,91.5,48.8,57.1,31.6,71.0,7.3
rice,Clay soil,83.2,49.4,54.2,31.0,65.1,5.9
rice,Alluvial soil,87.6,44.6,52.0,21.9,67.0,5.5
rice,Loamy soil,82.5,46.5,56.3,34.9,73.7,7.3
rice,Clay soil,83.1,56.8,54.9,22.3,76.0,6.6
rice,Alluvial soil,82.6,48.4,51.2,38.5,61.0,7.9
rice,Loamy soil,99.3,54.4,40.7,23.1,70.1,7.5
rice,Clay soil,94.6,55.9,42.5,38.5,73.2,7.9
rice,Alluvial soil,94.4,48.5,53.5,39.3,66.2,7.5
rice,Loamy soil,93.9,51.8,46.7,24.4,68.5,7.3
rice,Clay soil,93.9,53.1,48.1,24.1,66.7,7.9
rice,Alluvial soil,96.3,44.0,42.0,21.0,64.0,7.4
rice,Loamy soil,94.9,45.2,54.0,24.1,72.1,5.5
rice,Clay soil,91.9,51.0,50.7,34.5,75.7,5.1
rice,Alluvial soil,80.3,51.1,55.8,35.6,65.5,6.8
rice,Loamy soil,93.1,46.0,52.0,33.3,71.6,7.7
rice,Clay soil,87.1,44.0,45.1,35.5,61.6,6.5
rice,Alluvial soil,80.5,45.1,52.8,40.0,61.6,7.6
rice,Loamy soil,86.2,53.9,50.9,21.3,63.3,5.1
rice,Clay soil,85.0,54.2,54.6,30.2,67.5,7.9
rice,Alluvial soil,91.7,57.9,46.5,36.0,63.7,6.1
rice,Loamy soil,96.6,56.9,54.1,36.1,79.0,5.1
rice,Clay soil,92.4,49.1,40.0,24.1,78.1,7.0
rice,Alluvial soil,85.9,41.4,49.4,21.3,78.1,7.0
rice,Loamy soil,85.2,55.3,40.6,27.4,75.3,5.2
rice,Clay soil,97.1,55.9,56.7,21.7,77.4,6.2
rice,Alluvial soil,84.6,44.3,57.6,36.0,69.9,6.3
rice,Loamy soil,89.9,44.1,59.4,24.6,70.6,6.9
rice,Clay soil,99.6,54.7,57.1,30.5,66.5,5.1
rice,Alluvial soil,92.1,50.3,58.6,25.6,74.4,5.9
rice,Loamy soil,85.2,40.5,44.1,29.4,70.9,5.7
rice,Clay soil,98.7,52.4,48.7,28.2,69.2,5.5
rice,Alluvial soil,92.9,57.4,50.4,39.4,66.1,5.4
rice,Loamy soil,99.0,57.9,51.0,28.1,67.0,6.6
rice,Clay soil,80.1,45.5,57.6,30.5,65.7,7.0
rice,Alluvial soil,84.0,49.0,53.9,20.7,76.9,7.0
rice,Loamy soil,98.1,45.0,43.3,32.9,68.5,7.6
rice,Clay soil,83.5,59.4,59.4,26.1,75.8,7.8
rice,Alluvial soil,92.5,41.8,56.5,26.5,76.2,7.0
rice,Loamy soil,85.1,59.0,47.0,30.0,60.2,6.5
rice,Clay soil,96.6,46.9,45.8,26.0,68.4,6.7
rice,Alluvial soil,83.7,57.7,41.4,31.2,71.9,6.3
rice,Loamy soil,86.7,44.4,50.2,24.0,60.6,6.2
rice,Clay soil,95.4,46.1,42.7,23.3,64.6,5.0
rice,Alluvial soil,85.0,50.6,50.4,28.4,72.7,5.1
rice,Loamy soil,97.5,43.9,55.9,30.7,77.6,7.3
rice,Clay soil,80.2,55.2,51.7,27.5,69.5,6.1
rice,Alluvial soil,93.2,53.1,50.4,21.7,61.8,5.4
rice,Loamy soil,88.6,42.8,43.1,31.6,63.5,5.4
rice,Clay soil,94.2,40.1,51.1,39.0,70.7,7.2
rice,Alluvial soil,84.6,41.6,43.8,31.5,72.0,6.5
rice,Loamy soil,90.8,44.8,43.0,35.1,63.8,6.9
rice,Clay soil,94.3,44.4,42.3,22.4,66.7,6.7
rice,Alluvial soil,92.4,48.8,54.1,21.3,69.8,6.1
rice,Loamy soil,86.2,52.4,46.0,27.5,60.4,6.9
rice,Clay soil,99.8,43.4,49.5,21.5,62.3,5.4
rice,Alluvial soil,99.8,59.5,47.2,38.7,69.8,6.6
rice,Loamy soil,80.5,45.7,47.4,29.9,79.1,5.3
rice,Clay soil,82.0,42.4,57.5,24.9,79.8,5.5
rice,Alluvial soil,83.4,51.6,42.1,34.8,62.8,7.0
rice,Loamy soil,91.4,55.0,56.2,23.9,61.2,6.9
rice,Clay soil,83.5,46.4,56.8,20.5,61.1,5.6
rice,Alluvial soil,87.3,56.7,60.0,27.9,77.0,5.6
rice,Loamy soil,81.3,46.9,53.8,27.2,68.6,5.9
rice,Clay soil,99.8,59.0,54.4,33.5,60.6,6.4
rice,Alluvial soil,92.7,51.5,52.9,25.0,73.0,6.0
rice,Loamy soil,87.7,47.6,58.9,22.5,79.4,5.7
rice,Clay soil,84.3,46.7,41.9,20.3,67.1,5.9
rice,Alluvial soil,86.8,43.8,55.8,39.7,71.0,6.4
rice,Loamy soil,94.7,57.2,54.4,22.4,75.1,5.9
rice,Clay soil,93.3,52.3,59.2,37.7,74.0,6.4
rice,Alluvial soil,89.1,56.8,51.3,27.0,70.0,6.5
rice,Loamy soil,82.4,42.7,45.7,20.3,60.5,5.5
rice,Clay soil,82.6,54.9,49.0,24.0,70.7,8.0
rice,Alluvial soil,87.9,56.2,45.3,37.6,73.2,5.4
rice,Loamy soil,88.9,49.7,57.6,28.8,73.0,7.2
rice,Clay soil,93.6,57.9,51.7,22.1,70.1,5.3
rice,Alluvial soil,98.1,59.3,53.7,34.9,65.5,5.1
rice,Loamy soil,99.7,40.1,48.5,29.7,73.9,5.0
rice,Clay soil,81.0,43.6,42.7,30.0,61.1,6.2
rice,Alluvial soil,94.2,46.2,57.6,30.9,77.0,7.8
rice,Loamy soil,88.7,46.9,58.0,36.0,75.7,6.5
rice,Clay soil,87.1,57.4,59.0,35.8,72.9,7.4
rice,Alluvial soil,95.6,53.3,44.7,26.1,60.6,7.3
rice,Loamy soil,83.9,44.8,44.6,29.9,79.1,6.1
rice,Clay soil,83.1,51.3,40.0,26.1,68.9,5.3
rice,Alluvial soil,96.6,52.4,50.2,24.7,80.0,6.6
rice,Loamy soil,83.9,48.3,52.5,24.8,75.7,7.9
rice,Clay soil,92.4,52.9,45.3,31.9,74.1,5.5
rice,Alluvial soil,84.6,48.9,44.8,38.8,67.5,6.7
rice,Loamy soil,97.1,48.9,40.8,33.4,68.8,5.8
rice,Clay soil,85.1,58.1,54.2,21.2,65.5,6.1
rice,Alluvial soil,81.9,53.3,42.7,34.5,74.2,5.3
rice,Loamy soil,90.5,56.6,54.4,24.7,76.1,6.6
rice,Clay soil,92.8,47.1,46.3,39.0,70.0,6.3
rice,Alluvial soil,95.5,53.1,44.4,24.7,76.8,7.5
rice,Loamy soil,92.3,44.2,48.7,39.7,60.9,5.5
rice,Clay soil,98.7,46.9,44.1,39.3,68.4,5.5
rice,Alluvial soil,92.1,59.9,52.8,39.9,60.0,7.5
